#Format: JPTC-ISOGAIN/1
#Tool: jptc-collect 0.1.4
#Decoder: LibRaw 0.22.2-Release
#Generated: 2026-08-20T17:08:18.196Z
#
# Every value below is as measured. No correction of any kind has been
# applied, and no black level has been subtracted. The black level belongs
# to the dark set, which is why that one is shot first.
#
#Camera: Leica M11 Monochrom
#ImageWidth: 9528
#ImageHeight: 6328
#ImagePixels: 60293184
#Firmware: 2.6.1
#Lens: none-bodycap
#ShutterType: 机械快门
#Compression: 喵
#LongExposureNR: off (declared)
#Stabilisation: off (declared)
#
#AdcStep: 1
#LinearisationCurve: identity
#CfaPattern: GMCY
#CfaOrder: C00,C01,C10,C11 by position in the 2x2 cell, not by colour name
#RawSize: 9536x6336
#SensorBlackTag: 1023
#SensorMaximum: 16383
#Ladder: auto-shutter
#CropMosaic: 5900x3900
#PlanePerChannel: 2950x1950
# ShutterSec is the exposure time recorded by the camera; it does not
# independently measure mechanical-curtain travel. The paired-shutter
# ladder avoids depending on any systematic timing error.
# ShutterSec uses the standard ExposureTime in seconds when present, then
# ShutterSpeedValue converted from APEX, then LibRaw as a fallback. For
# example, Leica may store both 1/80 and an APEX value that converts to
# 1/80.56. These are camera records, not a measurement of shutter travel.
# ExposureTimeExif (0x829A) and ShutterApexExif (0x9201, APEX, t = 2^-v) are
# therefore recorded verbatim as the fractions the file holds, empty when the
# camera wrote no such field, so the selected value remains auditable.
#
# g1/g2 = (t1/t2) * (Mean2 - BL2) / (Mean1 - BL1), with BL from the dark set.
ISO,ShutterSec,ExposureTimeExif,ShutterApexExif,Aperture,ShutterGroup,File,Channel,ColorIndex,N,Mean,Std,ClipFrac
125,0.4,2/5,344/256,11.004334545117949,0.400000,L1008770.DNG,C00,6,5752500,2729.5364048674487,565.4582656560209,0
125,0.4,2/5,344/256,11.004334545117949,0.400000,L1008770.DNG,C01,6,5752500,2727.0624438070404,564.8584039645175,0
125,0.4,2/5,344/256,11.004334545117949,0.400000,L1008770.DNG,C10,6,5752500,2727.2749936549326,565.2292268562159,0
125,0.4,2/5,344/256,11.004334545117949,0.400000,L1008770.DNG,C11,6,5752500,2729.5968396349413,565.8035127436183,0
200,0.25,1/4,522/256,11.004334545117949,0.250000,L1008771.DNG,C00,6,5752500,2702.317617383746,557.094532955632,0
200,0.25,1/4,522/256,11.004334545117949,0.250000,L1008771.DNG,C01,6,5752500,2698.5516949152543,556.0942877494641,0
200,0.25,1/4,522/256,11.004334545117949,0.250000,L1008771.DNG,C10,6,5752500,2698.794155410691,556.4534668365934,0
200,0.25,1/4,522/256,11.004334545117949,0.250000,L1008771.DNG,C11,6,5752500,2702.447746371143,557.4260599973201,0
400,0.125,1/8,774/256,11.004334545117949,0.125000,L1008772.DNG,C00,6,5752500,2698.6262908300737,557.1960740672569,0
400,0.125,1/8,774/256,11.004334545117949,0.125000,L1008772.DNG,C01,6,5752500,2690.9027813993916,554.9912626798374,0
400,0.125,1/8,774/256,11.004334545117949,0.125000,L1008772.DNG,C10,6,5752500,2691.1424540634507,555.3322548037025,0
400,0.125,1/8,774/256,11.004334545117949,0.125000,L1008772.DNG,C11,6,5752500,2699.002473707084,557.6008338762826,0
800,0.06666666666666667,1/15,1025/256,11.004334545117949,0.0666667,L1008773.DNG,C00,6,5752500,2711.0170305084744,563.0272972583484,0
800,0.06666666666666667,1/15,1025/256,11.004334545117949,0.0666667,L1008773.DNG,C01,6,5752500,2710.2071914819644,562.9076366909203,0
